id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/24599114,Los descubrimientos del mar Muerto. Balance de 25 años de hallazgos y estudio (Biblioteca de Autores Cristianos),Revue de Qumrân,1973,,article,book-review,jstor,,1973-03-01,2 (30),8,http://www.jstor.org/stable/24599114,José R. Villalón; Antonio González Lamadrid,Editions Gabalda,fre,269,271,,découvertes; auteur; nouveau testament; autores cristianos; mer morte; livres; langue espagnole; par exemple; non initié; cette recension,1130,3,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24663025,THE ORION CENTER BIBLIOGRAPHY OF THE DEAD SEA SCROLLS (July-December 2006),Revue de Qumrân,2007,,article,misc,jstor,,2007-06-01,1 (89),23,http://www.jstor.org/stable/24663025,Ruth A. Clements; Nadav Sharon,Editions Gabalda,fre,109,149,,sea scrolls; qumran; dead sea; dead sea scrolls; leiden brill; judaism; tex baylor; waco tex; fraunhofer irb; christian origins,17077,41,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24663100,"LE RETOUR AU TEMPLE DE JÉRUSALEM (""4Q173a olim 4Q173"" 5)?",Revue de Qumrân,2009,,article,research-article,jstor,,2009-11-01,2 (94),24,http://www.jstor.org/stable/24663100,David Hamidović,Peeters Publishers,fre,283,286,,jérusalem; qumrân; temple; השער לאל; ceux qui; attestée; préservé pourrait; fragment; bible hébraïque; scandale,1615,4,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24663226,Front Matter,Revue de Qumrân,2013,,article,misc,jstor,,2013-06-01,1 (101),26,http://www.jstor.org/stable/24663226,,Editions Gabalda,fre,,,,petit pende; pende france; mladen popovic; tzvi novick; recensions mladen; heger celibacy; ideal pray; gabalda; emile puech; mathias nygaard,455,6,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24606777,"Einleitung in das Alte Testament, 3
           e 
          édition",Revue de Qumrân,1965,,article,book-review,jstor,,1965-04-01,2 (18),5,http://www.jstor.org/stable/24606777,Henri Cazelles; O. Eissfeldt,Editions Gabalda,fre,263,264,,eissfeldt; damas eissfeldt; paragraphe; henri cazelles; qumrân; fragments; cette dernière; adhérer expressément; paragraphe eissfeldt; khirbet mird,757,2,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24600082,"A Comparative Study of the Old Testament Text in the Dead Sea Scrolls and in the New Testament (Studies on the texts of the Desert of Judah, volume IV)",Revue de Qumrân,1970,,article,book-review,jstor,,1970-12-01,3 (27),7,http://www.jstor.org/stable/24600082,Jean Carmignac; J. De Waard,Editions Gabalda,fre,460,462,,qumrân; nouveau testament; auteur; textes bibliques; textes; saut visuel; ancien testament; rapports entre; qumrân qui; même lignée,1387,3,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24607073,THE RABBINIC CITATIONS IN WACHOLDER'S THE DAWN OF QUMRAN,Revue de Qumrân,1984,,article,research-article,jstor,,1984-12-01,4 (44),11,http://www.jstor.org/stable/24607073,Herbert W. Basser,Editions Gabalda,eng,549,560,,sadducees; mishna; wacholder; pharisees; rabbinic; qumran; mishna yadaim; patrician sadducees; pharisaic; passage,5365,12,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24640817,QUMRÂN AU MUSÉE DU LOUVRE,Revue de Qumrân,2005,,article,research-article,jstor,,2005-06-01,1 (85),22,http://www.jstor.org/stable/24640817,Dariusz Długosz,Peeters Publishers,fre,121,129,,qumrân; jarres; rouleau; antiquités orientales; cuivre; école biblique; louvre; manuscrits; ont été; grotte,2826,9,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24607034,"Melchizedek and Melchirešaʽ (The Catholic Biblical Quarterly Monograph Series, 10)",Revue de Qumrân,1983,,article,book-review,jstor,,1983-12-01,3 (43),11,http://www.jstor.org/stable/24607034,Jean Carmignac; Paul J. Kobelski,Editions Gabalda,fre,452,455,,qumrân; chef des anges; auteur; melchizedek; melki résa; sacerdoce; esprit critique; anges mauvais; auteur adopte; anges bons,1755,4,unigrams; bigrams; trigrams
http://www.jstor.org/stable/24608987,Front Matter,Revue de Qumrân,1990,,article,misc,jstor,,1990-01-01,3 (55),14,http://www.jstor.org/stable/24608987,,Editions Gabalda,fre,,,,garcia martinez; qumran; biblical texts; être adressés; florentino garcia; garcîa martînez; biblical scrolls; qumran origins; doivent être; martînez qumrân,515,8,unigrams; bigrams; trigrams
